,Name,Born,Age,Batting Style,Bowling Style,Playing Role,Teams_playing,PlayerName,Mat,Span,Runs,HS,Bat Avg,100s,Wkts,Bowl Avg,5w,Catches,Stumping,Avg Diff,Matches_won,Matches_lost,HS(out/not_out),BBI_wickets,BBI_runs,career_span_yrs
1577,Priyanka Roy,1988-03-02,35,Right hand Bat,Legbreak,Top order Batter,3,Priyanka Roy,15,2009-2011,95,22,10.55,0,21,12.47,1,3,0,-1.92,7,8,Out,5,16,2
1579,Titas Ranadeep Sadhu,2004-09-29,19,Right hand Bat,Right arm Medium,Bowler,4,Titas Ranadeep Sadhu,7,2023-2024,2,2,2.0,0,8,13.75,0,2,0,-11.75,4,3,Out,4,17,1
1602,Shafali Verma,2004-01-28,20,Right hand Bat,Right arm Offbreak,Opening Batter,7,Shafali Verma,68,2019-2024,1605,73,24.31,0,10,18.5,0,16,0,5.81,37,28,Out,3,15,5
1606,Vijay Shankar,1991-01-26,33,Right hand Bat,Right arm Medium,Allrounder,18,Vijay Shankar,9,2018-2019,101,43,25.25,0,5,38.2,0,2,0,-12.95,5,4,Out,2,32,1
1608,Deepti Bhagwan Sharma,1997-08-24,26,Left hand Bat,Right arm Offbreak,Allrounder,12,Deepti Bhagwan Sharma,104,2016-2024,1015,64,23.6,0,113,19.34,0,34,0,4.25,55,43,Out,4,10,8
1609,Ishant Sharma,1988-09-02,35,Right hand Bat,Right arm Fast medium,Bowler,16,Ishant Sharma,14,2008-2013,8,5,8.0,0,8,50.0,0,4,0,-42.0,6,8,Not Out,2,34,5
1615,Rohit Gurunath Sharma,1987-04-30,36,Right hand Bat,Right arm Offbreak,Top order Batter,17,Rohit Gurunath Sharma,151,2007-2024,3974,121,31.79,5,1,113.0,0,60,0,-81.2,101,46,Not Out,1,22,17
1622,Shivam Pankaj Mavi,1998-11-26,25,Right hand Bat,Right arm Fast medium,Bowler,6,Shivam Pankaj Mavi,6,2023-2023,28,26,14.0,0,7,17.57,0,3,0,-3.57,4,2,Out,4,22,0
1638,Shanthakumaran Sreesanth,1983-02-06,40,Right hand Bat,Right arm Fast medium,Bowler,12,Shanthakumaran Sreesanth,10,2006-2008,20,19,20.0,0,7,41.14,0,2,0,-21.14,6,2,Not Out,2,12,2
1655,Shardul Narendra Thakur,1991-10-16,32,Right hand Bat,Right arm Medium,Bowler,15,Shardul Narendra Thakur,25,2018-2022,69,22,23.0,0,33,23.39,0,7,0,-0.39,16,6,Not Out,4,27,4
1656,Namboori Thakur Tilak Varma,2002-11-08,21,Left hand Bat,Right arm Offbreak,Batting Allrounder,5,Namboori Thakur Tilak Varma,16,2023-2024,336,55,33.6,0,2,13.0,0,10,0,20.6,10,5,Not Out,1,5,1
1669,Devika Purnendu Vaidya,1997-08-13,26,Left hand Bat,Legbreak Googly,Allrounder,5,Devika Purnendu Vaidya,17,2014-2023,90,32,22.5,0,10,27.0,0,1,0,-4.5,8,6,Out,2,16,9
1672,Varun Chakravarthy Vinod,1991-08-29,32,Right hand Bat,Legbreak Googly,Bowler,7,Varun Chakravarthy Vinod,6,2021-2021,0,0,0.0,0,2,66.0,0,0,0,-66.0,2,4,Out,1,18,0
